"entrez_symbol","driver_mechanism","label","refresh_date","source"
"MAP2K7","LoF","MAP2K7 LoF","04 April 2023","Intogen"
"MAP3K1","LoF","MAP3K1 LoF","04 April 2023","Intogen"
"MAPK1","GoF","MAPK1 GoF","04 April 2023","Intogen"
"MAX","GoF","MAX GoF","04 April 2023","Intogen"
"MB21D2","LoF","MB21D2 LoF","04 April 2023","Intogen"
"MDM2","GoF","MDM2 GoF","04 April 2023","Intogen"
"MDM4","GoF","MDM4 GoF","04 April 2023","Intogen"
"MECOM","GoF","MECOM GoF","04 April 2023","Intogen"
"MED12","GoF","MED12 GoF","04 April 2023","Intogen"
"MEF2B","LoF","MEF2B LoF","04 April 2023","Intogen"
"MEN1","LoF","MEN1 LoF","04 April 2023","Intogen"
"MET","GoF","MET GoF","04 April 2023","Intogen"
"MGA","LoF","MGA LoF","04 April 2023","Intogen"
"MLLT1","GoF","MLLT1 GoF","04 April 2023","Intogen"
"MLLT3","GoF","MLLT3 GoF","04 April 2023","Intogen"
"MTCP1","GoF","MTCP1 GoF","04 April 2023","Intogen"
"MTOR","GoF","MTOR GoF","04 April 2023","Intogen"
"MYC","GoF","MYC GoF","04 April 2023","Intogen"
"MYCN","GoF","MYCN GoF","04 April 2023","Intogen"
"MYD88","GoF","MYD88 GoF","04 April 2023","Intogen"
"MYH11","GoF","MYH11 GoF","04 April 2023","Intogen"
"MYH9","GoF","MYH9 GoF","04 April 2023","Intogen"
"NCOA2","GoF","NCOA2 GoF","04 April 2023","Intogen"
"NCOR1","LoF","NCOR1 LoF","04 April 2023","Intogen"
"NCOR2","GoF","NCOR2 GoF","04 April 2023","Intogen"
"NF1","LoF","NF1 LoF","04 April 2023","Intogen"
"NF2","LoF","NF2 LoF","04 April 2023","Intogen"
"NFE2L2","GoF","NFE2L2 GoF","04 April 2023","Intogen"
"NFKBIA","LoF","NFKBIA LoF","04 April 2023","Intogen"
"NIN","LoF","NIN LoF","04 April 2023","Intogen"
"NIPBL","LoF","NIPBL LoF","04 April 2023","Intogen"
"NKTR","GoF","NKTR GoF","04 April 2023","Intogen"
"NONO","LoF","NONO LoF","04 April 2023","Intogen"
"NPEPPS","LoF","NPEPPS LoF","04 April 2023","Intogen"
"NPRL2","LoF","NPRL2 LoF","04 April 2023","Intogen"
"NRAS","GoF","NRAS GoF","04 April 2023","Intogen"
"NRG1","GoF","NRG1 GoF","04 April 2023","Intogen"
"NRK","GoF","NRK GoF","04 April 2023","Intogen"
"NRP1","LoF","NRP1 LoF","04 April 2023","Intogen"
"NSD1","GoF","NSD1 GoF","04 April 2023","Intogen"
"NT5C3A","LoF","NT5C3A LoF","04 April 2023","Intogen"
"NTRK1","GoF","NTRK1 GoF","04 April 2023","Intogen"
"NTRK3","GoF","NTRK3 GoF","04 April 2023","Intogen"
"NUMA1","GoF","NUMA1 GoF","04 April 2023","Intogen"
"NUP214","GoF","NUP214 GoF","04 April 2023","Intogen"
"NXF1","GoF","NXF1 GoF","04 April 2023","Intogen"
"P2RY8","GoF","P2RY8 GoF","04 April 2023","Intogen"
"PAK2","GoF","PAK2 GoF","04 April 2023","Intogen"
